policy,condition,seed,return,final_distance,last10_mean_distance,success
more_expert,delay_2,10014,-9.474610969256403,0.19349438774228128,0.18634254071093545,0
more_expert,delay_2,10015,-17.220231770708885,0.18096590095790352,0.18282235593116275,0
more_expert,delay_2,10016,-15.245034086605306,0.011419208298117335,0.17692919481409947,0
more_expert,delay_2,10017,-14.765698539410716,0.09558880028131958,0.0955553281577968,0
more_expert,delay_2,10018,-15.853684325347528,0.12269318000030481,0.12128114840194193,0
more_expert,delay_2,10019,-11.357127089209312,0.0643985578401387,0.10003879370478921,0
more_expert,delay_2,10020,-15.421070731781036,0.11216915766810487,0.13796611084322227,0
more_expert,delay_2,10021,-11.1920404918231,0.31481265973929723,0.288314342528061,0
more_expert,delay_2,10022,-15.6044202604316,0.0829237455558762,0.08517470991645962,0
more_expert,delay_2,10023,-7.199793329896113,0.2260170462219244,0.18741161935933726,0
more_expert,delay_2,10024,-15.263336084838173,0.05271273590790936,0.11696041979410157,0
more_expert,delay_2,10025,-12.092208382707758,0.10965067937664763,0.11950800444899223,0
more_expert,delay_2,10026,-11.999603402091088,0.3825137602050416,0.33689490832508673,0
more_expert,delay_2,10027,-10.003289006748142,0.1601583292230937,0.1216520158705233,0
more_expert,delay_2,10028,-13.45452151201525,0.12299822041039078,0.1263728044256668,0
more_expert,delay_2,10029,-10.270189004664793,0.36297878284308976,0.34325348341671047,0
dagger,delay_0,10000,-5.887807212969225,0.038169886201267274,0.034282612382964754,0
dagger,delay_0,10001,-9.04831558071594,0.037639254804052856,0.03725409031796413,0
dagger,delay_0,10002,-2.897986346170823,0.009445043308266267,0.008057060056972095,1
dagger,delay_0,10003,-6.028602609291392,0.006645958021347809,0.007254159428624567,1
dagger,delay_0,10004,-8.368763348368667,0.04248196668819671,0.04442246186629482,0
dagger,delay_0,10005,-6.499865174291769,0.036363302025622914,0.03597985324175822,0
dagger,delay_0,10006,-6.683669455497972,0.022939769141232393,0.021718284262160114,1
dagger,delay_0,10007,-4.556401954196905,0.00722055644910327,0.007029231616481122,1
dagger,delay_0,10008,-1.719369644442848,0.0178457001794442,0.01747467881911493,1
dagger,delay_0,10009,-3.852272738358576,0.011632755209107944,0.010416751004004661,1
dagger,delay_0,10010,-1.7936541328071942,0.016563561213196864,0.016645306479963623,1
dagger,delay_0,10011,-3.9586715024529657,0.0021445700592373136,0.0015455240845006911,1
dagger,delay_0,10012,-6.17796470990874,0.011925213184799785,0.011988096283819477,1
dagger,delay_0,10013,-5.550747451015402,0.006869809772474305,0.006615176563534819,1
dagger,delay_0,10014,-3.616424050581241,0.0045492050688212115,0.0035868709177186995,1
dagger,delay_0,10015,-8.25035798657448,0.00524442124449741,0.00512610571357036,1
dagger,delay_0,10016,-5.0125925042852755,0.01574913620190768,0.013194669177341934,1
dagger,delay_0,10017,-7.353051613175594,0.002183635360076341,0.0024804152145872166,1
dagger,delay_0,10018,-7.000698944233086,0.013680167297057474,0.014563987307704742,1
dagger,delay_0,10019,-3.758688887940757,0.012662606303893273,0.011888651482860873,1
dagger,delay_0,10020,-6.769984853026543,0.009607418177723655,0.010644919329335884,1
dagger,delay_0,10021,-3.3134348284495676,0.011801475668194375,0.011314641234159538,1
dagger,delay_0,10022,-7.3119200795168195,0.018542053493422538,0.01991685690448126,1
dagger,delay_0,10023,-2.653579812303096,0.005421846241636587,0.0059207808341683165,1
dagger,delay_0,10024,-5.320255857236644,0.013437220558770547,0.012140059051994837,1
dagger,delay_0,10025,-5.707643558891892,0.01135981109951436,0.011200930940764972,1
dagger,delay_0,10026,-3.7852364060494983,0.003290757105768313,0.0062376798088059964,1
dagger,delay_0,10027,-4.446761987891756,0.004600186600501133,0.003992329505401805,1
dagger,delay_0,10028,-6.670323988574833,0.008863513359360913,0.008848444726518176,1
dagger,delay_0,10029,-1.9360946870335611,0.010132522413892559,0.008620376535496495,1
dagger,delay_2,10000,-14.537353065673463,0.0438746649835347,0.08160121770533296,0
